,transcript
0,"
        MR. DAVID GREGORY:  This Sunday, back to work.  The nation posts its largest job gain in three years, but unemployment remains unchanged at 9.7 percent. Are the millions of jobs lost during this recession ever coming back?  And what stimulus options does the administration have left?  Our exclusive guest this morning, chair of the White House Council of Economic Advisers, Dr. Christina Romer.
    "
1,"Then, the terror threat inside the U.S.  A new warning to the nation's governors surfaces as a violent anti-government plot is uncovered.  Plus, new airport screening rules in response to the Christmas Day bombing scare.  With us, chairman of the Senate Homeland Security Committee,
Senator Joe Lieberman, Independent of Connecticut; a member of the House Homeland Security Committee, Congresswoman Jane Harman, Democrat of California; and former Secretary of Homeland Security Michael Chertoff."
2,"Finally, the president's leadership.  Where does he stand after the healthcare debate?  And how will he lead his party in this election year? Insights from the editors:  New Yorker magazine editor and author of the new book ""The Bridge,"" David Remnick; and editor of Time magazine, author of the new book ""Mandela's Way,"" Rick Stengel."
3,"MR. DAVID GREGORY:  But first, the economy.  The president welcomed the positive job growth numbers on Friday, saying the U.S. is ""beginning to turn the corner."" And with us live this morning, the chair of his Council of Economic Advisers, Dr. Christina Romer."
4,Welcome back to MEET THE PRESS.
5,DR. CHRISTINA ROMER:  Great to be with you.
6,"MR. GREGORY:  So this was the very positive news, we'll put it up on the screen, 162,000 jobs that were created in the month of March.  Some of those temporary workers working on the census, and those who are sort of underemployed, as it's measured, takes that unemployment rate still higher. Yet, with those caveats, what did this mean?"
7,"DR. ROMER:  It meant we certainly had positive job growth.  I mean, even when you take out what you mentioned, which is the effect of the census workers--we had some 48,000 people hired by the census in March.  We also probably had a snow rebound effect.  We think the big storms pushed down the numbers in February and sort of artificially pushed them up in March.
But even taking those into account, we think we had good, solid, you know, employment growth. And that is, as the president said, it's the beginning."
8,MR. GREGORY:  The worst is over?
9,"DR. ROMER:  I think certainly we--I mean, we have been seeing gradually job losses moderate.  We've now crossed the zero line and are positive. Yes, I anticipate that we're going to continue to see positive job growth as we go forward, and what I'm going to be focusing on is how big does it get; because, as you mentioned in your opening, we've got a big hole when
it comes to jobs."
10,"MR. GREGORY:  Well, speaking of that, your colleague, the Treasury secretary, Tim Geithner, spoke to Matt Lauer on the ""Today"" program this week, and he said something that was striking.  Let's show it. "
11,"(Videotape, Thursday)"
12,"SEC'Y TIMOTHY GEITHNER:  The unemployment rate is still terribly high, and it's going to stay unacceptably high for a long period of time. "
13,(End videotape)
14,MR. GREGORY:  People will ask why and wonder whether we're dealing with a 21st century economy where significant job creation is not possible. 
15,"DR. ROMER:  Oh, I think that's, that's certainly not true.  I--obviously, I absolutely think that we will be creating a lot of jobs.  You know, the fact that the unemployment rate stayed constant this month at some level is pretty amazing, because we have seen..."
16,MR. GREGORY:  Nine point seven percent.
17,"DR. ROMER:  Nine point seven percent, which is, as Secretary Geithner said, absolutely unacceptable.  But, you know, behind that there's just been a tremendous increase in the labor force.  For the last three months, or over the last three months, we've added more than a million people to the labor force.  And that's actually--that's a great sign. That's a sign that people that might have been discouraged, dropped out because of the terrible recession have started to have some hope again and are looking for work again."
18,MR. GREGORY:  But why will it be so high for so long?
19,"DR. ROMER:  Well, I think part of it is we still face a lot of headwinds. I mean, this recession has been, as I've said, you know, an absolutely terrible one.  It's also an unusual one, having been caused by a financial crisis, has created a lot of fear.  That's a lot of--you know,
we still have some trouble with debt and credit availability.  All of that makes it harder for us to grow, so most of the forecasts are we'll grow about 3 percent real GDP in, in 2010.  That's not enough to get a lot of job growth.  We'll get positive job growth, it'll be enough to probably bring the unemployment rate down a little bit, but you need faster than that to really make a dent."
20,"MR. GREGORY:  Members of the president's own party, congressmen and women at hearings recently, have raised some, some real concerns about this, the priority that jobs has and job creation has within the administration.  This was one such complaint aired at a hearing where you were present.  We'll show it now."
21,"(Videotape, March 16, 2010)"
22,"REP. MARCY KAPTUR (D-OH):  I find your testimony dismaying and out of touch. And I ask myself, how can we be so far apart in our views?  ... Your testimony doesn't even mention the total number of unemployed and underemployed and marginally attacked in our country.  That number, for your information, is 25 million people.  ...  People aren't working.  On page three, astoundingly, you concede unemployment won't go down.  You have no urgency."
23,(End videotape)
24,MR. GREGORY:  So the question becomes what options does the president have left to try to spur job creation?
25,"DR. ROMER:  Well, first thing I want to say is we have tremendous urgency.  I mean, if you think about what we've done over the last year, the president has always made it clear jobs was number one.  And that's why within a month of when he came into office he passed the biggest fiscal stimulus in American history.  We've done repeated things--the Cash for Clunkers, extending the first-time home buyers credit.  And starting last fall, the president was talking about additional things that we can do.  We just did one of them.  The HIRE Act that was signed a couple of weeks ago had one of the things I think can be very effective, which is a tax incentive for hiring.  I'm very optimistic that that's sort of the right policy for this stage in the recovery.  We see firms starting to hire temporary workers, we see demand coming back.  We think this might be something that will help to push them over.  But the president has emphasized small business lending.  There are programs pending in Congress that we've proposed, a $30 billion small business lending program that we think we--could be very important.  We've supported zero capital gains tax for people that invest in small businesses.  We think that's a good policy that could help to start new firms, get job creation that way."
26,MR. GREGORY:  What about an energy jobs bill?  Will that be a priority for Democrats in Congress? 
27,"DR. ROMER:  Absolutely.  I mean, the president, you know, starting with the Recovery Act, has wanted to--thinks that investing in clean energy is a smart way to create jobs now, make us a healthier economy in the future.  We have a program for encouraging energy retrofits, sort of an energy version of Cash for Clunkers, we think could be very effective."
28,"I also want to mention, you know, before Congress left, they failed to extend the unemployment insurance provisions of the Recovery Act.  That absolutely has to get done.  The numbers we see, the 9.7 percent unemployment, we've got to be supporting those workers.  And by supporting them, we support the whole economy."
29,"MR. GREGORY:  You mentioned the stimulus as a huge effort by this administration to deal with people who are out of work and to deal with a recession.  And yet, again, I go back to members of the president's own party raising concerns about just how effective it's been.  We see in polling that people are still not feeling it, that they--that it's still not very popular. And The New Yorker reported something recently quoting a Democrat from Virginia about the stimulus, saying this:  ""We should have gone in and done the kind of stimulus that would actually turn the economy around.  We ended up with something that was strong enough to
prevent a depression.  But it just wasn't strong enough to stimulate the recovery."" Would you concede that it didn't do as much as you thought it would have done to spark recovery?"
30,DR. ROMER:  Absolutely not.  I think it has done exactly what we said it would do.  And I think the...
31,"MR. GREGORY:  Well, clearly, it didn't do what you said it would do, which is to keep unemployment at 8 percent."
32,"DR. ROMER:  What we had said it would do would to, to save or create some three and a half million jobs.  It's absolutely on track to do that.  I also think it's a big part--be--the reason we've seen, as the president said, we've--beginning to turn the corner.  I think experts across the ideological spectrum give the Recovery Act a lot of credit for the dramatic change in the trajectory that, that we have seen.  It has, you know, it has absolutely supported unemployed workers, it has absolutely helped state and local governments.  And we are investing in this country in a way that is helping to create jobs and making us more productive in the future."
33,"MR. GREGORY:  On the issue of job creation, I've spoken to some business leaders who say, you know, ""Look at the healthcare debate.  Look how rancorous it was.  Look how much uncertainty there is even about the outcome of, of health care's impact down the road."" Look at all the talk about regulation and what some people see as an anti-business climate in
Washington generally and the administration specifically.  If you're a small or a large business, why would you build a factory today?  Why would you start hiring workers?"
34,"DR. ROMER:  I think you'd build a factory because we see the economy starting to grow again, and I think there are going to be profit opportunities."
35,"But I've got to come back to health care.  First, we've gotten a lot of certainty because the bill has finally passed, and I think that's a fabulous development.  But also, it is such a pro-business bill, especially pro-small business.  It has been designed precisely to do what small business owners tell us they want to do, which is provide health insurance for their workers. They think it gives them a competitive advantage to be able to offer that. And this bill has designed--it has some $40 billion of tax credits for small businesses.  It exempts them from any employer responsibility fees.  It gives them an insurance exchange where they can get insurance for their workers at a cheaper price.  So it is a big win for business."
36,"MR. GREGORY:  Right.  But, Dr. Romer, there are also people who say it doesn't do the number one thing that many people feel it should have done, which is really attack costs that are out of control.  And here's one anecdote I heard, that if you are cutting back on reimbursements to providers or, say, hospitals through Medicare, that those costs don't just go away, they get shifted so that employees of companies will pay higher prices for other tests in hospitals, and ultimately that price inflation that companies, small and large, have to deal with is still
very much there despite the fact that this bill is law."
37,"DR. ROMER:  I think that's completely wrong, and I'd ask you to read the Congressional Budget Office's own report where they say for both small and large businesses it will lower their health insurance premiums."
38,MR. GREGORY:  You don't think costs are going to be shifted by hospitals that get fewer reimbursements through Medicare?  You don't think they're going to pass that cost on?
